symbol,name
INFY.NS,Infosys Ltd
TCS.NS,Tata Consultancy Services Ltd
RELIANCE.NS,Reliance Industries Ltd
HDFCBANK.NS,HDFC Bank Ltd
ICICIBANK.NS,ICICI Bank Ltd
SBIN.NS,State Bank of India
ITC.NS,ITC Ltd
LT.NS,Larsen and Toubro Ltd
BHARTIARTL.NS,Bharti Airtel Ltd
ASIANPAINT.NS,Asian Paints Ltd
KOTAKBANK.NS,Kotak Mahindra Bank Ltd
HINDUNILVR.NS,Hindustan Unilever Ltd
MARUTI.NS,Maruti Suzuki India Ltd
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd
BAJFINANCE.NS,Bajaj Finance Ltd
TATAMOTORS.NS,Tata Motors Ltd
TATASTEEL.NS,Tata Steel Ltd
TATAPOWER.NS,Tata Power Company Ltd
TATACONSUM.NS,Tata Consumer Products Ltd
TATACHEM.NS,Tata Chemicals Ltd
TATAELXSI.NS,Tata Elxsi Ltd
TATACOMM.NS,Tata Communications Ltd
TITAN.NS,Titan Company Ltd
TRENT.NS,Trent Ltd
INDHOTEL.NS,Indian Hotels Company Ltd
VOLTAS.NS,Voltas Ltd
